Year,Quarter,Reporting Units,Month1 Employed,Month2 Employed,Month3 Employed,Average Employment,Total Wages,Average Wages
2021(p),Annual,16123,,,,406342,"$30,499,151,859","$75,058"
2021(p),1,16147,397399,397771,400267,398479,"$7,368,262,105","$18,491"
2021(p),2,16101,401331,402750,406860,403647,"$7,203,389,176","$17,846"
2021(p),3,16142,408727,408137,408856,408573,"$7,554,587,250","$18,490"
2021(p),4,16100,413362,414637,416011,414670,"$8,372,913,328","$20,192"
2020,Annual,16296,,,,399784,"$29,213,272,335","$73,073"
2020,1,16366,430575,430290,428499,429788,"$7,844,217,153","$18,251"
2020,2,16276,349140,367987,391614,369580,"$6,650,287,884","$17,994"
2020,3,16303,395035,398874,399944,397951,"$6,834,527,652","$17,174"
2020,4,16238,401715,401676,402055,401815,"$7,884,239,646","$19,622"
2019,Annual,16461,,,,437138,"$30,228,696,634","$69,151"
2019,1,16552,436561,436932,436976,436823,"$7,873,002,286","$18,023"
2019,2,16518,437642,438518,441855,439338,"$7,349,559,201","$16,729"
2019,3,16436,439968,439100,436717,438595,"$7,219,533,390","$16,461"
2019,4,16337,432770,434965,433651,433795,"$7,786,601,757","$17,950"
2018,Annual,16901,,,,441610,"$29,857,663,013","$67,611"
2018,1,17013,436475,437852,438879,437735,"$7,765,954,969","$17,741"
2018,2,16948,439262,441050,445076,441796,"$7,214,030,595","$16,329"
2018,3,16896,444879,444783,442380,444014,"$7,102,242,398","$15,996"
2018,4,16746,443348,442997,442343,442896,"$7,775,435,051","$17,556"
2017,Annual,17298,,,,444183,"$29,271,175,924","$65,899"
2017,1,17349,440072,440830,442000,440967,"$7,573,753,302","$17,175"
2017,2,17375,442530,444010,447993,444844,"$7,084,116,092","$15,925"
2017,3,17303,446514,446213,444822,445850,"$7,000,439,247","$15,701"
2017,4,17163,445510,445106,444597,445071,"$7,612,867,283","$17,105"
2016,Annual,17160,,,,447653,"$28,787,166,819","$64,307"
2016,1,17155,446559,446596,447467,446874,"$7,168,730,577","$16,042"
2016,2,17201,447405,447751,450999,448718,"$7,055,034,384","$15,723"
2016,3,17175,450250,449286,447218,448918,"$7,156,218,575","$15,941"
2016,4,17109,447614,445738,444956,446103,"$7,407,183,283","$16,604"
2015,Annual,17236,,,,452406,"$29,681,406,454","$65,608"
2015,1,17281,447356,447498,449371,448075,"$7,294,434,460","$16,279"
2015,2,17274,450468,452370,456510,453116,"$6,929,787,372","$15,294"
2015,3,17256,456014,455502,453936,455151,"$7,506,528,308","$16,492"
2015,4,17133,454131,453168,452542,453280,"$7,950,656,314","$17,540"
2014,Annual,17088,,,,450173,"$27,986,941,871","$62,169"
2014,1,17064,447343,446487,447178,447003,"$7,207,496,124","$16,124"
2014,2,17108,448318,450216,454261,450932,"$6,714,813,799","$14,891"
2014,3,17100,451854,452840,451037,451910,"$6,654,305,967","$14,725"
2014,4,17081,451106,450809,450631,450849,"$7,410,325,981","$16,436"
2013,Annual,17389,,,,454286,"$27,810,772,183","$61,219"
2013,1,17468,450585,449908,451340,450611,"$7,182,167,258","$15,939"
2013,2,17458,453371,454920,458092,455461,"$6,697,085,809","$14,704"
2013,3,17364,455367,457008,455773,456049,"$6,699,503,779","$14,690"
2013,4,17266,455370,454994,454702,455022,"$7,232,015,337","$15,894"
2012,Annual,17554,,,,456930,"$27,881,858,009","$61,020"
2012,1,17585,452891,453329,454952,453724,"$7,288,585,285","$16,064"
2012,2,17609,454684,457528,461365,457859,"$6,626,141,485","$14,472"
2012,3,17575,459421,459818,459596,459612,"$6,685,343,087","$14,546"
2012,4,17445,458772,455387,455414,456524,"$7,281,788,152","$15,951"
2011,Annual,17710,,,,456807,"$27,435,492,834","$60,059"
2011,1,17783,449969,450206,451741,450639,"$6,879,845,295","$15,267"
2011,2,17800,454886,456664,460804,457451,"$6,644,826,916","$14,526"
2011,3,17706,459221,460787,459967,459992,"$6,704,647,477","$14,576"
2011,4,17550,459803,459026,458615,459148,"$7,206,173,146","$15,695"
2010,Annual,18162,,,,455857,"$27,095,692,584","$59,439"
2010,1,18216,451166,450466,451725,451119,"$6,531,950,365","$14,479"
2010,2,18211,453200,455470,459514,456061,"$6,501,714,056","$14,256"
2010,3,18125,457105,457785,458489,457793,"$6,550,011,597","$14,308"
2010,4,18095,459278,458226,457858,458454,"$7,512,016,566","$16,386"
2009,Annual,18787,,,,474211,"$27,098,409,223","$57,144"
2009,1,18978,497217,488540,483491,489749,"$6,964,157,224","$14,220"
2009,2,18864,478443,475833,474585,476287,"$6,516,361,966","$13,682"
2009,3,18741,468557,467957,467289,467934,"$6,337,791,025","$13,544"
2009,4,18564,465598,462077,460944,462873,"$7,280,099,008","$15,728"
2008,Annual,19676,,,,531695,"$30,433,644,369","$57,239"
2008,1,19845,536161,534585,534772,535173,"$7,927,989,160","$14,814"
2008,2,19727,533579,535247,538871,535899,"$7,423,598,178","$13,853"
2008,3,19619,533636,534179,531977,533264,"$7,179,214,283","$13,463"
2008,4,19511,528577,522647,516110,522445,"$7,902,842,748","$15,127"
2007,Annual,19745,,,,551758,"$30,902,135,482","$56,007"
2007,1,19830,552687,551566,552601,552285,"$7,975,051,220","$14,440"
2007,2,19814,551769,554105,557217,554364,"$7,425,862,839","$13,395"
2007,3,19717,551974,552569,550824,551789,"$7,281,914,887","$13,197"
2007,4,19619,549753,548447,547588,548596,"$8,219,306,536","$14,982"
2006,Annual,19348,,,,564916,"$30,368,502,542","$53,758"
2006,1,19456,564442,563777,564756,564325,"$7,851,117,625","$13,912"
2006,2,19414,565628,567383,572151,568387,"$7,258,579,654","$12,770"
2006,3,19295,564209,565753,564316,564759,"$7,156,596,896","$12,672"
2006,4,19225,563319,562553,560708,562193,"$8,102,208,367","$14,412"
2005,Annual,19666,,,,578759,"$30,072,888,216","$51,961"
2005,1,19734,578725,577467,580063,578752,"$7,568,176,249","$13,077"
2005,2,19617,579045,579942,583462,580816,"$7,257,481,940","$12,495"
2005,3,19484,577454,580007,578858,578773,"$7,354,870,072","$12,708"
2005,4,19828,577755,576832,575501,576696,"$7,892,359,955","$13,685"
2004,Annual,20064,,,,593521,"$29,827,120,494","$50,255"
2004,1,19849,588513,589677,593899,590696,"$7,481,884,995","$12,666"
2004,2,20242,591901,595063,599636,595533,"$7,099,221,921","$11,921"
2004,3,20152,590958,595995,595839,594264,"$7,175,956,386","$12,075"
2004,4,20014,594620,593997,592153,593590,"$8,070,057,192","$13,595"
2003,Annual,20530,,,,610059,"$29,518,817,496","$48,387"
2003,1,20792,619489,617355,618517,618454,"$7,495,319,936","$12,119"
2003,2,20567,612296,612832,614903,613344,"$7,154,305,783","$11,664"
2003,3,20450,601747,606699,607479,605308,"$6,968,523,256","$11,512"
2003,4,20309,604842,604040,600503,603128,"$7,900,668,521","$13,099"
2002,Annual,21595,,,,649208,"$30,055,322,418","$46,295"
2002,1,21821,655075,653308,655497,654627,"$7,707,326,266","$11,774"
2002,2,21638,653093,655067,656762,654974,"$7,293,292,499","$11,135"
2002,3,21514,644241,648593,646616,646483,"$7,162,379,698","$11,079"
2002,4,21408,644984,641249,636013,640749,"$7,892,323,955","$12,317"
2001,Annual,22878,,,,699462,"$31,140,699,896","$44,521"
2001,1,23218,720122,719954,719187,719754,"$8,210,553,297","$11,407"
2001,2,22939,710989,708641,711659,710430,"$7,598,786,927","$10,696"
2001,3,22871,694527,693909,690233,692890,"$7,310,308,024","$10,550"
2001,4,22482,681326,674002,668990,674773,"$8,021,051,648","$11,887"
2000,Annual,23814,,,,745585,"$31,994,981,980","$42,913"
2000,1,24193,742076,743498,746857,744144,"$8,254,226,806","$11,092"
2000,2,23956,745662,747392,754640,749231,"$7,689,647,880","$10,263"
2000,3,23716,741698,746975,747525,745399,"$7,693,763,484","$10,322"
2000,4,23390,746538,743434,740725,743566,"$8,357,343,810","$11,240"
(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary
