Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnAvg
2021,244.7,,,,,,,,,,,,
2020,266.1,261.5,258.9,192.7,203.2,220.4,230.0,233.4,240.0,244.3,251.1,255.0,238.1
2019,270.5,265.7,266.2,267.3,268.9,273.3,269.1,266.5,267.3,269.9,276.5,279.1,270.0
2018,274.1,270.0,269.9,270.6,273.4,277.0,271.1,269.1,269.9,272.0,278.3,281.8,273.1
2017,273.8,269.0,269.6,270.8,275.0,278.9,274.4,273.5,274.9,277.1,283.9,288.7,275.8
2016,270.6,267.4,268.6,270.7,273.0,277.5,273.9,273.2,274.0,276.1,281.9,286.9,274.5
2015,271.8,266.9,268.1,269.1,273.5,277.6,273.5,272.5,273.6,275.6,281.3,284.1,274.0
2014,268.1,264.2,266.1,267.5,270.6,274.9,271.3,270.7,272.0,274.6,280.8,285.6,272.2
2013,260.9,257.5,259.2,262.3,265.5,270.5,267.3,266.0,269.2,271.2,278.5,283.6,267.6
2012,261.7,257.4,258.2,258.5,262.3,266.2,260.5,259.7,262.5,265.1,269.0,275.4,263.0
2011,254.4,251.5,252.3,255.8,258.2,262.5,258.4,258.2,259.5,261.7,267.3,272.7,259.4
2010,252.4,248.6,250.2,252.9,255.5,260.1,255.2,255.2,257.0,259.0,263.9,268.2,256.5
2009,260.9,256.1,255.2,253.2,256.5,259.5,253.5,252.6,255.0,256.0,261.0,265.9,257.1
2008,274.4,269.2,270.8,270.4,272.6,275.6,270.2,268.6,270.1,271.5,275.0,279.2,272.3
2007,270.9,266.6,267.9,269.3,272.6,277.2,271.6,269.2,272.5,275.3,282.0,288.1,273.6
2006,267.6,262.7,264.3,265.9,268.6,272.9,268.8,267.6,269.9,273.0,279.5,285.8,270.6
2005,268.3,264.8,266.0,267.9,269.6,272.6,268.4,268.4,270.1,271.5,277.6,284.8,270.8
2004,266.8,264.4,266.2,266.0,269.0,272.6,269.4,269.4,271.4,274.4,279.2,285.2,271.2
2003,266.9,263.5,265.2,265.6,268.1,272.3,267.1,266.8,269.1,274.2,279.8,285.0,270.3
2002,264.8,260.8,263.5,262.7,264.4,268.7,264.4,263.8,267.2,268.9,275.0,281.8,267.2
2001,273.2,269.0,269.7,267.3,271.0,274.2,269.0,267.5,268.4,270.0,275.2,281.4,271.3
2000,268.6,266.2,268.0,270.6,272.0,275.6,271.2,271.5,273.7,276.2,282.6,290.3,273.9
1999,264.2,259.8,261.2,263.3,264.0,267.7,264.2,266.1,266.7,269.1,275.8,283.6,267.1
1998,256.8,251.8,252.9,251.9,255.4,258.7,254.2,254.7,257.7,262.3,267.0,274.3,258.1
1997,253.8,247.5,249.8,249.3,251.3,255.4,250.7,251.8,254.7,258.6,263.4,270.4,254.7
1996,247.3,242.1,243.8,245.7,248.9,252.5,247.4,248.7,252.3,252.7,259.5,265.7,250.6
1995,250.5,245.9,246.1,246.8,248.5,251.2,247.7,247.8,251.4,251.1,256.5,262.3,250.5
1994,243.0,236.3,238.3,239.2,241.5,246.3,243.1,243.9,247.3,250.8,256.5,262.9,245.8
1993,240.0,235.1,234.7,236.5,239.8,243.6,239.1,241.5,242.9,246.4,249.0,254.5,241.9
1992,242.5,238.3,238.2,238.5,240.6,242.1,236.3,236.8,238.9,244.1,248.1,251.9,241.4
1991,249.6,243.8,244.2,244.5,247.0,249.7,242.8,243.0,245.8,247.3,252.1,256.0,247.2
1990,255.6,250.3,251.6,250.3,252.5,255.3,251.1,250.7,252.7,254.3,257.4,260.7,253.5
